filename,page_no,label,text,bounding_box
0001_ChatGPT_is_bullshit.pdf,1,title,"blished online: 8 June 2024
he Author(s) 2024
chael Townsen Hicks1
 · James Humphries1 · Joe Slater1","[63.15428571428562, 141.90857142857138, 426.58285714285716, 183.05142857142854]"
0001_ChatGPT_is_bullshit.pdf,1,author,"bstract
The Author(s) 2024","[61.78285714285708, 188.53714285714284, 223.6114285714285, 221.45142857142852]"
0001_ChatGPT_is_bullshit.pdf,1,author,st in large language models: machi,"[229.0971428571428, 185.79428571428568, 367.61142857142846, 225.56571428571422]"
0001_ChatGPT_is_bullshit.pdf,1,author,,"[447.1542857142857, 220.07999999999993, 363.49714285714276, 189.9085714285714]"
0001_ChatGPT_is_bullshit.pdf,1,abstract,"is bullshitting, in the Frankfurtian sense (Frankfurt, 2002, 
2005). Because these programs cannot themselves be con-
cerned with truth, and because they are designed to produce 
text that looks truth-apt without any actual concern for truth, 
it seems appropriate to call their outputs bullshit.
We think that this is worth paying attention to. Descrip-
tions of new technology, including metaphorical ones, guide 
roduction
e language models (LLMs), programs which use reams 
vailable text and probability calculations in order to 
te seemingly-human-produced writing, have become 
easingly sophisticated and convincing over the last 
ral years, to the point where some commentators sug-
words Artificial intelligence · Large language models · LLMs · ChatGPT · Bullshit · Frankfurt · Assertion · 
tent","[70.01142857142851, 313.33714285714285, 791.382857142857, 449.1085714285714]"
0001_ChatGPT_is_bullshit.pdf,1,heading,"at exactly these programs are
 question about the nature an
ed, and of its connection to tr","[65.8971428571428, 523.1657142857142, 179.72571428571428, 556.0799999999999]"
0001_ChatGPT_is_bullshit.pdf,1,body,"metaphor which will misinfo
and other interested parties.
The structure of the paper 
tion, we outline how ChatGP
Next, we consider the view 
errors, they are lying or hallu
uttering falsehoods, or blam
basis of misleading input inf
ther of these ways of thinking
lying and hallucinating requir
of their statements, whereas L
to accurately represent the w
inst the view that when ChatGPT and the like produce 
e claims they are lying or even hallucinating, and in 
our of the position that the activity they are engaged in 
Michael Townsen Hicks
Michael.hicks@glasgow.ac.uk
James Humphries
James.Humphries@glasgow.ac.uk
Joe Slater
Joe.Slater@glasgow.ac.uk
University of Glasgow, Glasgow, Scotland
Content courtesy of Springer Nature, terms of use apply. Rights","[67.26857142857133, 562.9371428571428, 425.2114285714285, 855.0514285714286]"
0001_ChatGPT_is_bullshit.pdf,1,body,"ymakers and the public the 
isrepresenting the world, and 
We argue that this is an inapt 
rm the public, policymakers, 
is as follows: in the first sec-
T and similar LLMs operate. 
that when they make factual 
ucinating: that is, deliberately 
elessly uttering them on the 
ormation. We argue that nei-
g are accurate, insofar as both 
e some concern with the truth 
LLMs are simply not designed 
ay the world is, but rather to 
1 3
s reserved.","[426.58285714285716, 523.1657142857142, 785.8971428571429, 1023.7371428571428]"
0001_ChatGPT_is_bullshit.pdf,1,date,"pplications of th
ations”. We argu","[152.2971428571429, 242.0228571428571, 214.0114285714286, 257.1085714285714]"
0001_ChatGPT_is_bullshit.pdf,2,body,"gest, is very close to at least one way that Frankfurt talks 
ut bullshit. We draw a distinction between two sorts of 
lshit, which we call ‘hard’ and ‘soft’ bullshit, where the 
mer requires an active attempt to deceive the reader or 
ener as to the nature of the enterprise, and the latter only 
uires a lack of concern for truth. We argue that at mini-
m, the outputs of LLMs like ChatGPT are soft bullshit: 
lshit–that is, speech or text produced without concern for 
truth–that is produced without any intent to mislead the 
ience about the utterer’s attitude towards truth. We also 
gest, more controversially, that ChatGPT may indeed 
duce hard bullshit: if we view it as having intentions (for 
mple, in virtue of how it is designed), then the fact that it 
esigned to give the impression of concern for truth quali-
 it as attempting to mislead the audience about its aims, 
ls, or agenda. So, with the caveat that the particular kind 
bullshit ChatGPT outputs is dependent on particular 
ws of mind or meaning, we conclude that it is appropriate 
alk about ChatGPT-generated text as bullshit, and flag up 
y it matters that – rather than thinking of its untrue claims 
ies or hallucinations – we call bullshit on ChatGPT.
hat is ChatGPT?
ge language models are becoming increasingly good 
carrying on convincing conversations. The most promi-
t large language model is OpenAI’s ChatGPT, so it’s the 
 we will focus on; however, what we say carries over to 
er neural network-based AI chatbots, including Google’s 
d chatbot, AnthropicAI’s Claude (claude.ai), and Meta’s 
aMa. Despite being merely complicated bits of software, 
se models are surprisingly human-like when discussing a 
de variety of topics. Test it yourself: anyone can go to the 
human speech or writing. T
goal, insofar as they have 
text. They do so by estimatin
word will appear next, given
The machine does this by
tical model, one which is b
mostly taken from the intern
little input from human rese
system; rather, the model 
large number of nodes, whi
for a word to appear in a tex
that has come before it. Rat
ability functions by hand, re
amounts of text and train it
predictions about this trainin
tive or negative feedback de
correctly. Given enough tex
statistical model giving the l
block of text all by itself.
This model associates w
locates it in a high-dimensi
words that occur in simila
which don’t. When produci
ous string of words and con
ing the word’s surroundings
occur in the context of simil
heuristically as representing
the content of its context. 
constructed using machine 
cal analysis of large amoun
sorts of similarity are repres
high-dimensional vector spa
similar they are to what we 
The model then takes these ","[65.8971428571428, 84.30857142857138, 418.35428571428565, 487.5085714285714]"
